ro_id,machine_model,machine_age_years,operating_hours,symptom_text,failure_code,subsystem,environment,technician_notes,downtime_hours,estimated_total_parts_cost,created_at
RO000203,SUV-Z,2.6,29018,Coolant temperature high,FC-CLG-11,engine_cooling,high_temp,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,7.37,132.06,2026-06-13 09:11:16
RO000204,TRUCK-T2,11.0,20773,Drive transfer slip,FC-DRV-19,drivetrain,city_stopgo,Observed: Drive transfer slip. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,3.24,314.89,2024-03-12 15:36:32
RO000205,SUV-X,4.7,18914,Belt slipping,FC-ACC-09,conveyor_like_accessory,dusty,Observed: Belt slipping. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,3.06,289.72,2023-04-03 02:20:16
RO000206,COUPE-R,9.0,13077,Torque transfer delay,FC-DRV-19,drivetrain,high_temp,Observed: Torque transfer delay. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,4.75,185.36,2025-06-15 23:59:02
RO000207,TRUCK-T1,9.0,18554,Torque transfer delay,FC-DRV-19,drivetrain,highway_longhaul,Observed: Torque transfer delay. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,4.78,185.36,2024-07-27 07:58:14
RO000208,SEDAN-B,10.6,6351,Unexpected power cut,FC-ELC-22,electrical_power,city_stopgo,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,6.73,166.8,2024-09-09 19:55:20
RO000209,SUV-X,8.6,12523,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,city_stopgo,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,6.15,248.34,2025-01-23 22:42:30
RO000210,SUV-X,2.1,22392,Intake actuator delayed,FC-PNE-07,pneumatic_intake,dusty,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,5.13,186.45,2024-12-10 04:13:47
RO000211,SEDAN-B,4.7,23392,Torque transfer delay,FC-DRV-19,drivetrain,highway_longhaul,Observed: Torque transfer delay. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,4.09,223.77,2024-07-13 22:00:18
RO000212,VAN-C,1.6,2546,Intermittent electrical fault,FC-ELC-22,electrical_power,highway_longhaul,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,6.71,274.83,2023-05-22 16:09:07
RO000213,SUV-X,2.0,29038,Accessory drive noise,FC-ACC-09,conveyor_like_accessory,dusty,Observed: Accessory drive noise. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,1.34,318.61,2023-04-21 00:40:14
RO000214,SUV-X,12.4,16688,Drive transfer slip,FC-DRV-19,drivetrain,normal,Observed: Drive transfer slip. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,5.31,185.36,2025-04-04 02:46:55
RO000215,COUPE-R,4.6,18193,Unexpected power cut,FC-ELC-22,electrical_power,high_temp,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,5.42,172.39,2023-05-15 15:57:50
RO000216,SUV-Z,10.4,15913,Brake pressure drop,FC-HYD-04,hydraulic_brake,city_stopgo,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,5.8,115.39,2025-07-22 14:52:08
RO000217,TRUCK-T1,5.2,14544,Radiator efficiency low,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,6.12,132.06,2023-03-26 18:29:04
RO000218,SEDAN-A,0.5,4214,Intermittent electrical fault,FC-ELC-22,electrical_power,high_humidity,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,6.99,122.12,2024-05-06 14:57:20
RO000219,SEDAN-A,7.1,13528,Intake actuator delayed,FC-PNE-07,pneumatic_intake,city_stopgo,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,5.54,124.29,2023-04-15 21:47:48
RO000220,VAN-C,7.7,10681,Air regulation unstable,FC-PNE-07,pneumatic_intake,highway_longhaul,Observed: Air regulation unstable. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,3.94,124.29,2024-09-16 21:59:20
RO000221,TRUCK-T2,7.2,7173,Belt slipping,FC-ACC-09,conveyor_like_accessory,dusty,Observed: Belt slipping. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,6.32,150.37,2025-06-29 23:57:43
RO000222,SUV-Z,0.5,23233,Drive transfer slip,FC-DRV-19,drivetrain,normal,Observed: Drive transfer slip. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,6.45,223.77,2024-11-05 22:43:20
RO000223,SUV-X,7.4,22861,Coolant temperature high,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,8.83,210.86,2023-01-18 15:10:52
RO000224,SEDAN-B,10.1,273,Driveline vibration under load,FC-DRV-19,drivetrain,normal,Observed: Driveline vibration under load. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,2.94,215.72,2024-06-04 10:06:58
RO000225,TRUCK-T2,4.3,15208,Drive transfer slip,FC-DRV-19,drivetrain,high_temp,Observed: Drive transfer slip. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,6.54,271.55,2024-02-01 07:25:00
RO000226,SUV-X,4.0,16494,Air regulation unstable,FC-PNE-07,pneumatic_intake,high_temp,Observed: Air regulation unstable. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,3.99,198.9,2023-02-24 22:26:58
RO000227,SEDAN-B,4.4,3746,Unexpected power cut,FC-ELC-22,electrical_power,city_stopgo,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,3.65,203.04,2024-08-02 03:17:45
RO000228,SEDAN-B,1.8,7193,Radiator efficiency low,FC-CLG-11,engine_cooling,dusty,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,7.61,132.06,2024-03-14 13:09:46
RO000229,SUV-Z,3.2,36059,Air regulation unstable,FC-PNE-07,pneumatic_intake,dusty,Observed: Air regulation unstable. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,6.49,316.84,2024-07-26 02:14:09
RO000230,TRUCK-T2,7.1,8133,Coolant leak suspected,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Coolant leak suspected. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,6.9,241.1,2025-12-13 06:05:33
RO000231,SUV-X,4.5,15976,Intake actuator delayed,FC-PNE-07,pneumatic_intake,highway_longhaul,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,10.62,124.29,2024-03-10 16:38:32
RO000232,SUV-X,6.2,24194,Pneumatic valve not switching,FC-PNE-07,pneumatic_intake,highway_longhaul,Observed: Pneumatic valve not switching. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,4.09,124.29,2026-06-27 18:25:56
RO000233,VAN-C,6.4,29166,Brake pedal spongy,FC-HYD-04,hydraulic_brake,highway_longhaul,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,4.25,165.78,2026-02-16 07:56:31
RO000234,SUV-X,12.8,20662,Drive transfer slip,FC-DRV-19,drivetrain,normal,Observed: Drive transfer slip. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,4.38,314.89,2023-09-13 08:20:36
RO000235,SEDAN-B,8.7,22780,Brake pedal spongy,FC-HYD-04,hydraulic_brake,normal,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,6.74,248.34,2023-09-02 20:19:37
RO000236,TRUCK-T2,1.0,9182,Coolant temperature high,FC-CLG-11,engine_cooling,dusty,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,5.0,421.72,2025-03-08 15:09:51
RO000237,SUV-Z,6.2,19965,Pneumatic valve not switching,FC-PNE-07,pneumatic_intake,normal,Observed: Pneumatic valve not switching. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,5.86,124.29,2024-12-18 18:13:15
RO000238,VAN-C,1.8,18041,Brake pressure drop,FC-HYD-04,hydraulic_brake,high_humidity,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,6.72,135.6,2025-12-02 02:34:08
RO000239,SUV-X,8.5,23646,Accessory drive noise,FC-ACC-09,conveyor_like_accessory,normal,Observed: Accessory drive noise. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,7.17,279.9,2026-06-10 13:30:03
RO000240,TRUCK-T1,8.1,14438,Brake pressure drop,FC-HYD-04,hydraulic_brake,high_humidity,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,2.18,156.78,2024-11-23 20:30:40
RO000241,SUV-X,8.0,16661,Radiator efficiency low,FC-CLG-11,engine_cooling,dusty,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,6.04,440.57,2023-11-06 20:19:33
RO000242,COUPE-R,2.0,6351,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,high_humidity,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,7.61,135.6,2025-05-28 17:00:07
RO000243,SEDAN-A,6.4,20452,Torque transfer delay,FC-DRV-19,drivetrain,dusty,Observed: Torque transfer delay. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,5.56,185.36,2025-04-02 10:39:59
RO000244,SEDAN-A,6.6,22506,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,high_temp,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,4.47,248.34,2025-06-13 07:21:26
RO000245,TRUCK-T2,6.8,11301,Driveline vibration under load,FC-DRV-19,drivetrain,city_stopgo,Observed: Driveline vibration under load. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,4.63,215.72,2023-02-13 19:37:01
RO000246,SUV-Z,5.4,16777,Coolant leak suspected,FC-CLG-11,engine_cooling,normal,Observed: Coolant leak suspected. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,4.54,274.79,2025-03-28 19:25:23
RO000247,SEDAN-A,10.9,7843,Torque transfer delay,FC-DRV-19,drivetrain,normal,Observed: Torque transfer delay. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,5.13,314.89,2023-08-18 11:06:11
RO000248,SEDAN-B,5.0,26575,Accessory drive noise,FC-ACC-09,conveyor_like_accessory,high_humidity,Observed: Accessory drive noise. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,5.89,224.07,2024-04-13 18:37:13
RO000249,TRUCK-T2,10.1,3115,Line speed not maintained,FC-ACC-09,conveyor_like_accessory,high_temp,Observed: Line speed not maintained. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,6.03,206.2,2025-10-30 20:49:08
RO000250,SEDAN-A,9.6,15658,Accessory drive noise,FC-ACC-09,conveyor_like_accessory,high_temp,Observed: Accessory drive noise. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,7.63,318.61,2025-07-24 18:40:38
RO000251,TRUCK-T2,4.7,26274,Intermittent electrical fault,FC-ELC-22,electrical_power,high_humidity,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,10.1,119.19,2023-09-18 19:17:47
RO000252,TRUCK-T1,5.2,11435,Unexpected power cut,FC-ELC-22,electrical_power,normal,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,8.41,203.16,2026-01-24 02:57:55
RO000253,VAN-C,12.0,10817,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,normal,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,4.66,248.34,2025-01-14 20:39:17
RO000254,TRUCK-T2,5.5,4244,Coolant temperature high,FC-CLG-11,engine_cooling,high_humidity,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,3.66,276.8,2023-06-12 16:25:58
RO000255,SUV-X,3.0,8857,Coolant leak suspected,FC-CLG-11,engine_cooling,city_stopgo,Observed: Coolant leak suspected. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,5.43,340.94,2024-11-05 12:09:49
RO000256,SUV-X,7.3,27404,Air regulation unstable,FC-PNE-07,pneumatic_intake,normal,Observed: Air regulation unstable. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,3.5,124.29,2024-07-14 12:40:38
RO000257,COUPE-R,9.9,13288,Brake pressure drop,FC-HYD-04,hydraulic_brake,normal,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,5.4,248.34,2024-04-24 00:14:52
RO000258,TRUCK-T2,8.9,6018,Brake pedal spongy,FC-HYD-04,hydraulic_brake,high_temp,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,6.26,128.3,2024-11-23 11:42:24
RO000259,SEDAN-B,7.1,18939,Coolant leak suspected,FC-CLG-11,engine_cooling,normal,Observed: Coolant leak suspected. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,6.08,210.86,2025-11-03 22:06:30
RO000260,COUPE-R,15.1,9898,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,city_stopgo,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,4.44,295.33,2024-01-02 01:22:16
RO000261,SUV-Z,4.3,10556,Accessory drive noise,FC-ACC-09,conveyor_like_accessory,highway_longhaul,Observed: Accessory drive noise. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,4.23,355.37,2023-08-18 17:18:02
RO000262,VAN-C,10.7,26364,Intake actuator delayed,FC-PNE-07,pneumatic_intake,normal,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,4.36,124.29,2024-10-05 19:31:57
RO000263,TRUCK-T2,3.6,18771,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,dusty,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,4.4,135.6,2024-02-15 07:43:38
RO000264,VAN-C,8.7,16623,Control unit reset observed,FC-ELC-22,electrical_power,normal,Observed: Control unit reset observed. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,2.47,322.19,2024-09-06 20:13:22
RO000265,TRUCK-T2,11.9,29367,Drive transfer slip,FC-DRV-19,drivetrain,high_humidity,Observed: Drive transfer slip. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,4.27,353.3,2024-04-28 01:01:48
RO000266,TRUCK-T1,5.1,17286,Air regulation unstable,FC-PNE-07,pneumatic_intake,highway_longhaul,Observed: Air regulation unstable. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,6.17,316.84,2024-10-09 10:24:48
RO000267,SUV-X,8.8,31081,Driveline vibration under load,FC-DRV-19,drivetrain,normal,Observed: Driveline vibration under load. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,5.15,309.96,2024-04-28 07:30:34
RO000268,TRUCK-T2,3.7,3965,Coolant temperature high,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,4.04,210.86,2023-11-06 07:21:01
RO000269,SUV-X,6.4,29356,Air regulation unstable,FC-PNE-07,pneumatic_intake,dusty,Observed: Air regulation unstable. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,4.46,198.9,2025-06-30 16:28:53
RO000270,SUV-Z,7.3,14868,Coolant leak suspected,FC-CLG-11,engine_cooling,high_temp,Observed: Coolant leak suspected. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,7.88,421.72,2025-10-02 16:04:18
RO000271,SUV-X,15.3,10753,Unexpected power cut,FC-ELC-22,electrical_power,highway_longhaul,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,4.52,238.38,2023-09-27 01:23:18
RO000272,COUPE-R,10.2,20455,Intake actuator delayed,FC-PNE-07,pneumatic_intake,high_humidity,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,9.19,198.9,2025-11-17 23:42:09
RO000273,TRUCK-T1,8.5,12125,Torque transfer delay,FC-DRV-19,drivetrain,high_humidity,Observed: Torque transfer delay. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,6.68,319.12,2025-11-29 04:46:16
RO000274,SUV-X,10.4,21563,Intermittent electrical fault,FC-ELC-22,electrical_power,city_stopgo,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,6.51,316.6,2026-04-04 02:57:13
RO000275,VAN-C,10.2,24354,Brake pedal spongy,FC-HYD-04,hydraulic_brake,dusty,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,8.26,128.3,2026-02-18 11:21:48
RO000276,TRUCK-T2,8.8,13663,Air regulation unstable,FC-PNE-07,pneumatic_intake,city_stopgo,Observed: Air regulation unstable. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,5.79,205.25,2024-04-11 08:04:27
RO000277,TRUCK-T2,10.7,8464,Intake actuator delayed,FC-PNE-07,pneumatic_intake,highway_longhaul,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,6.24,124.29,2023-05-19 17:20:19
RO000278,COUPE-R,5.1,15229,Brake pedal spongy,FC-HYD-04,hydraulic_brake,normal,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,8.06,165.78,2024-12-31 22:52:29
RO000279,TRUCK-T1,7.2,15371,Torque transfer delay,FC-DRV-19,drivetrain,dusty,Observed: Torque transfer delay. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,2.78,181.54,2023-03-25 23:34:34
RO000280,SUV-X,9.1,20163,Pneumatic valve not switching,FC-PNE-07,pneumatic_intake,high_humidity,Observed: Pneumatic valve not switching. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,9.83,124.29,2025-09-12 15:50:10
RO000281,SUV-X,5.4,16753,Drive transfer slip,FC-DRV-19,drivetrain,city_stopgo,Observed: Drive transfer slip. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,6.0,185.36,2024-11-04 17:56:00
RO000282,TRUCK-T2,12.0,14237,Intermittent electrical fault,FC-ELC-22,electrical_power,city_stopgo,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,6.06,163.99,2023-10-24 01:12:53
RO000283,TRUCK-T1,8.6,16492,Coolant temperature high,FC-CLG-11,engine_cooling,high_humidity,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,4.61,264.12,2024-12-09 06:09:53
RO000284,TRUCK-T2,7.2,23589,Brake pedal spongy,FC-HYD-04,hydraulic_brake,high_temp,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,3.45,102.65,2023-09-14 03:18:09
RO000285,SEDAN-A,7.0,9399,Coolant leak suspected,FC-CLG-11,engine_cooling,city_stopgo,Observed: Coolant leak suspected. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,7.89,277.01,2025-02-22 22:06:09
RO000286,SEDAN-A,1.2,10528,Intake actuator delayed,FC-PNE-07,pneumatic_intake,highway_longhaul,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,6.25,323.19,2023-06-17 22:45:41
RO000287,VAN-C,12.0,14473,Unexpected power cut,FC-ELC-22,electrical_power,highway_longhaul,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,4.39,155.43,2023-06-06 20:48:05
RO000288,TRUCK-T1,13.1,3415,Intermittent electrical fault,FC-ELC-22,electrical_power,normal,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,1.1,166.8,2026-05-04 01:58:33
RO000289,SUV-Z,8.0,10983,Radiator efficiency low,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,3.46,312.71,2025-01-16 16:27:02
RO000290,SEDAN-B,9.0,16950,Coolant leak suspected,FC-CLG-11,engine_cooling,high_humidity,Observed: Coolant leak suspected. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,4.37,175.16,2025-09-27 22:37:00
RO000291,TRUCK-T1,2.0,21979,Coolant temperature high,FC-CLG-11,engine_cooling,high_humidity,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,6.8,264.12,2026-05-30 05:40:07
RO000292,SUV-X,6.2,29773,Coolant temperature high,FC-CLG-11,engine_cooling,high_humidity,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,3.36,241.1,2024-07-09 09:35:15
RO000293,VAN-C,1.2,9464,Accessory drive noise,FC-ACC-09,conveyor_like_accessory,highway_longhaul,Observed: Accessory drive noise. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,5.41,355.37,2025-01-12 22:15:58
RO000294,COUPE-R,7.4,13070,Radiator efficiency low,FC-CLG-11,engine_cooling,city_stopgo,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,6.2,549.58,2025-11-19 20:19:45
RO000295,COUPE-R,2.1,26550,Intermittent electrical fault,FC-ELC-22,electrical_power,dusty,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,5.34,172.39,2023-06-25 10:36:51
RO000296,SUV-Z,10.4,17741,Driveline vibration under load,FC-DRV-19,drivetrain,highway_longhaul,Observed: Driveline vibration under load. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,6.41,185.36,2024-06-09 12:45:43
RO000297,VAN-C,8.5,18581,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,high_temp,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,6.79,102.65,2025-05-17 08:34:54
RO000298,SEDAN-B,11.2,16572,Intake actuator delayed,FC-PNE-07,pneumatic_intake,dusty,Observed: Intake actuator delayed. Inspected pneumatic_intake subsystem. Replaced primary component and verified normal operation.,6.92,124.29,2024-05-13 02:05:42
RO000299,COUPE-R,6.2,26520,Drive transfer slip,FC-DRV-19,drivetrain,dusty,Observed: Drive transfer slip. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,4.15,314.89,2026-05-29 17:11:09
RO000300,VAN-C,12.8,14678,Radiator efficiency low,FC-CLG-11,engine_cooling,normal,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,2.64,274.79,2025-05-15 11:20:58
RO000301,SUV-Z,6.9,9551,Brake pressure drop,FC-HYD-04,hydraulic_brake,dusty,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,7.18,115.39,2024-05-30 16:50:11
RO000302,SEDAN-A,4.2,11430,Intermittent electrical fault,FC-ELC-22,electrical_power,high_humidity,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,1.72,143.52,2024-07-05 16:32:26
RO000303,VAN-C,4.9,100,Coolant temperature high,FC-CLG-11,engine_cooling,normal,Observed: Coolant temperature high. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,2.33,442.58,2024-01-31 00:35:33
RO000304,COUPE-R,9.2,21286,Radiator efficiency low,FC-CLG-11,engine_cooling,highway_longhaul,Observed: Radiator efficiency low. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,6.35,416.26,2025-07-04 11:17:56
RO000305,SUV-X,3.1,14618,Intermittent electrical fault,FC-ELC-22,electrical_power,normal,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,5.49,119.19,2024-08-24 19:31:36
RO000306,TRUCK-T1,2.4,27027,Intermittent electrical fault,FC-ELC-22,electrical_power,dusty,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,7.25,208.63,2024-06-16 14:42:09
RO000307,TRUCK-T2,5.7,15215,Unexpected power cut,FC-ELC-22,electrical_power,highway_longhaul,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,5.92,208.63,2026-02-18 14:35:24
RO000308,SUV-X,0.2,13022,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,highway_longhaul,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,4.14,405.12,2025-10-06 20:58:37
RO000309,SEDAN-A,3.0,12751,Brake pressure drop,FC-HYD-04,hydraulic_brake,high_temp,Observed: Brake pressure drop. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,9.1,248.34,2024-02-19 17:40:16
RO000310,TRUCK-T2,8.7,10430,Intermittent electrical fault,FC-ELC-22,electrical_power,dusty,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,6.65,155.43,2023-06-09 04:43:53
RO000311,SEDAN-A,11.4,22397,Torque transfer delay,FC-DRV-19,drivetrain,dusty,Observed: Torque transfer delay. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,5.62,185.36,2024-08-25 01:05:04
RO000312,SUV-Z,4.2,20585,Unexpected power cut,FC-ELC-22,electrical_power,highway_longhaul,Observed: Unexpected power cut. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,6.29,179.76,2025-12-30 14:28:32
RO000313,SUV-X,9.6,20081,Intermittent electrical fault,FC-ELC-22,electrical_power,highway_longhaul,Observed: Intermittent electrical fault. Inspected electrical_power subsystem. Replaced primary component and verified normal operation.,7.6,203.04,2025-03-09 05:35:57
RO000314,SUV-X,4.6,25539,Hydraulic pressure unstable,FC-HYD-04,hydraulic_brake,normal,Observed: Hydraulic pressure unstable. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,5.9,102.65,2023-08-27 18:28:38
RO000315,TRUCK-T2,13.8,9486,Coolant leak suspected,FC-CLG-11,engine_cooling,city_stopgo,Observed: Coolant leak suspected. Inspected engine_cooling subsystem. Replaced primary component and verified normal operation.,8.97,241.1,2023-12-08 16:46:41
RO000316,TRUCK-T1,7.2,9788,Brake pedal spongy,FC-HYD-04,hydraulic_brake,high_temp,Observed: Brake pedal spongy. Inspected hydraulic_brake subsystem. Replaced primary component and verified normal operation.,4.53,135.6,2026-03-15 05:02:16
RO000317,SUV-Z,5.4,18393,Line speed not maintained,FC-ACC-09,conveyor_like_accessory,normal,Observed: Line speed not maintained. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,6.55,355.37,2025-11-26 07:21:32
RO000318,COUPE-R,4.5,14805,Torque transfer delay,FC-DRV-19,drivetrain,dusty,Observed: Torque transfer delay. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,9.78,249.65,2023-03-10 02:54:30
RO000319,SEDAN-A,12.5,18490,Line speed not maintained,FC-ACC-09,conveyor_like_accessory,highway_longhaul,Observed: Line speed not maintained. Inspected conveyor_like_accessory subsystem. Replaced primary component and verified normal operation.,5.58,224.07,2023-04-12 16:57:59
RO000320,VAN-C,6.9,19908,Driveline vibration under load,FC-DRV-19,drivetrain,highway_longhaul,Observed: Driveline vibration under load. Inspected drivetrain subsystem. Replaced primary component and verified normal operation.,3.45,215.72,2026-06-22 18:48:32
